bike_latitude,bike_longitude,name,review_count,categories,rating,address,phone,distance
43.657763,-79.389165,KINKA IZAKAYA ORIGINAL,1815,"Japanese, Pubs",4.0,"398 Church Street, Toronto, ON M5B 2A2, Canada",+1 416-977-0999,877.1467901560992
43.657763,-79.389165,Seven Lives Tacos y Mariscos,1483,Mexican,4.5,"72 Kensington Avenue, Toronto, ON M5T 2K1, Canada",+1 416-393-4636,1006.6303824096711
43.657763,-79.389165,Banh Mi Boys,1244,"Vietnamese, Sandwiches",4.5,"392 Queen Street W, Toronto, ON M5V 2A9, Canada",+1 416-363-0588,1179.1313625401824
43.657763,-79.389165,Uncle Tetsu's Japanese Cheesecake,1182,"Desserts, Bakeries",3.5,"595 Bay Street, Unit E05, Toronto, ON M5G 2C2, Canada",+1 416-591-0555,510.1244443974783
43.657763,-79.389165,Salad King Restaurant,1020,Thai,3.5,"340 Yonge Street, Toronto, ON M5B 1R8, Canada",+1 416-593-0333,585.9162397111279
43.656729,-79.382736,Pai Northern Thai Kitchen,3483,Thai,4.5,"18 Duncan Street, Toronto, ON M5H 3G8, Canada",+1 416-901-4724,1095.5910142176267
43.656729,-79.382736,KINKA IZAKAYA ORIGINAL,1815,"Japanese, Pubs",4.0,"398 Church Street, Toronto, ON M5B 2A2, Canada",+1 416-977-0999,513.829541801903
43.656729,-79.382736,Uncle Tetsu's Japanese Cheesecake,1182,"Desserts, Bakeries",3.5,"595 Bay Street, Unit E05, Toronto, ON M5G 2C2, Canada",+1 416-591-0555,68.02728566944717
43.656729,-79.382736,Salad King Restaurant,1020,Thai,3.5,"340 Yonge Street, Toronto, ON M5B 1R8, Canada",+1 416-593-0333,120.74270111274144
43.656729,-79.382736,Sansotei Ramen,943,"Ramen, Noodles",4.0,"179 Dundas Street W, Toronto, ON M5G 1Z8, Canada",+1 647-748-3833,355.8693090839165
